School,CountyReport,Number_of_Total_Cases,ReportDate,Column
Havre de Grace Elementary School,Harford,11,10/20/2021,15:00:00+00
Hickory Elementary School,Harford,4,10/20/2021,15:00:00+00
Hollywood Elementary School,St. Mary's,6,10/20/2021,15:00:00+00
Homestead Wakefield Elementary School,Harford,6,10/20/2021,15:00:00+00
Honeygo Elementary School,Baltimore,2,10/20/2021,15:00:00+00
Indian Creek School,Anne Arundel,4,10/20/2021,15:00:00+00
Joppatowne Elementary School,Harford,4,10/20/2021,15:00:00+00
Kenwood High School,Baltimore,3,10/20/2021,15:00:00+00
Kings Christian Academy,St. Mary's,3,10/20/2021,15:00:00+00
La Plata High School,Charles,8,10/20/2021,15:00:00+00
Leonardtown High School,St. Mary's,72,10/20/2021,15:00:00+00
Leonardtown Middle School,St. Mary's,22,10/20/2021,15:00:00+00
Lexington Park Elementary School,St. Mary's,2,10/20/2021,15:00:00+00
Logan Elementary School,Baltimore,3,10/20/2021,15:00:00+00
Margaret Brent Middle School,St. Mary's,89,10/20/2021,15:00:00+00
Mattawoman Middle School,Charles,5,10/20/2021,15:00:00+00
McDonogh School,Baltimore,4,10/20/2021,15:00:00+00
Middletown High School,Frederick,8,10/20/2021,15:00:00+00
Mill Creek Middle School,Calvert,3,10/20/2021,15:00:00+00
Monarch Global Academy,Anne Arundel,13,10/20/2021,15:00:00+00
Mother Mary Lange Catholic School,Baltimore City,3,10/20/2021,15:00:00+00
Mount Airy Middle School,Carroll,2,10/20/2021,15:00:00+00
Mountain Ridge High School,Allegany,28,10/20/2021,15:00:00+00
North Bend Elementary School,Harford,2,10/20/2021,15:00:00+00
North Caroline High School,Caroline,7,10/20/2021,15:00:00+00
North Dorchester High School,Dorchester,21,10/20/2021,15:00:00+00
North Dorchester Middle School,Dorchester,24,10/20/2021,15:00:00+00
North East Elementary School,Cecil,2,10/20/2021,15:00:00+00
Northeast Middle School,Cecil,34,10/20/2021,15:00:00+00
North Hagerstown High School,Washington,9,10/20/2021,15:00:00+00
Northeast High School,Anne Arundel,30,10/20/2021,15:00:00+00
Northeast Middle School,Anne Arundel,20,10/20/2021,15:00:00+00
Northern Middle School,Washington,23,10/20/2021,15:00:00+00
Northwest Middle School,Carroll,29,10/20/2021,15:00:00+00
Oakland Mills Middle School,Howard,2,10/20/2021,15:00:00+00
Oakville Elementary School,St. Mary's,16,10/20/2021,15:00:00+00
Odenton Elementary School,Anne Arundel,2,10/20/2021,15:00:00+00
Orchard Grove Elementary School,Frederick,17,10/20/2021,15:00:00+00
Parkside High School,Wicomico,33,10/20/2021,15:00:00+00
Parkville Middle School,Baltimore,3,10/20/2021,15:00:00+00
Patuxent Appeal Elementary School,Calvert,3,10/20/2021,15:00:00+00
Perryville High School,Cecil,22,10/20/2021,15:00:00+00
Perryville Middle School,Cecil,7,10/20/2021,15:00:00+00
Pimlico Elementary Middle School,Baltimore City,12,10/20/2021,15:00:00+00
Piney Point Elementary School,St. Mary's,42,10/20/2021,15:00:00+00
Pocomoke High School,Worcester,6,10/20/2021,15:00:00+00
Poolesville Elementary School,Montgomery,4,10/20/2021,15:00:00+00
Ridge Elementary School,St. Mary's,3,10/20/2021,15:00:00+00
Route 40 Elementary School,Garrett,3,10/20/2021,15:00:00+00
Seaside Christian Academy,Worcester,10,10/20/2021,15:00:00+00
Shady Spring Elementary School,Baltimore,11,10/20/2021,15:00:00+00
Shiloh Middle School,Carroll,2,10/20/2021,15:00:00+00
Shiloh Middle School,Carroll,2,10/20/2021,15:00:00+00
Showell Elementary School,Worcester,21,10/20/2021,15:00:00+00
Silver Oak Academy,Carroll,6,10/20/2021,15:00:00+00
Snow Hill Middle School,Worcester,25,10/20/2021,15:00:00+00
Somerset Intermediate School,Somerset,29,10/20/2021,15:00:00+00
South River High School,Anne Arundel,2,10/20/2021,15:00:00+00
South-Dorchester K-8,Dorchester,3,10/20/2021,15:00:00+00
Southern High School,Anne Arundel,3,10/20/2021,15:00:00+00
Southern Middle School,Anne Arundel,16,10/20/2021,15:00:00+00
Sparrows Point Middle School,Baltimore,2,10/20/2021,15:00:00+00
Spring Ridge Middle School,St. Mary's,49,10/20/2021,15:00:00+00
St. Charles High School,Charles,22,10/20/2021,15:00:00+00
St. Jerome Academy,Prince George's,20,10/20/2021,15:00:00+00
St. John the Evangelist Catholic School,Baltimore,7,10/20/2021,15:00:00+00
St. Louis School,Howard,3,10/20/2021,15:00:00+00
St. Mary's School,Charles,2,10/20/2021,15:00:00+00
St. Michael's Elementary School,Talbot,2,10/20/2021,15:00:00+00
St. Michael's Elementary School,St. Mary's,2,10/20/2021,15:00:00+00
St. Ursula Catholic School,Baltimore,39,10/20/2021,15:00:00+00
Stephen Decatur High School,Worcester,4,10/20/2021,15:00:00+00
Sudersville Middle School,Queen Anne's,9,10/20/2021,15:00:00+00
Summit Park Elementary,Baltimore,7,10/20/2021,15:00:00+00
Sussex Elementary School,Baltimore,2,10/20/2021,15:00:00+00
Talbott Springs Elementary School,Howard,4,10/20/2021,15:00:00+00
The Children's Guild School of Prince George's Campus,Prince George's,12,10/20/2021,15:00:00+00
Thomson Estates Elementary School,Cecil,4,10/20/2021,15:00:00+00
Town Creek Elementary School,St. Mary's,2,10/20/2021,15:00:00+00
Villa Cresta Elementary School,Baltimore,2,10/20/2021,15:00:00+00
Villa Maria School,Baltimore,8,10/20/2021,15:00:00+00
Walkersville Middle School,Frederick,14,10/20/2021,15:00:00+00
Washington High School,Somerset,18,10/20/2021,15:00:00+00
West Side Elementary School,Allegany,2,10/20/2021,15:00:00+00
Western Heights Middle,Washington,27,10/20/2021,15:00:00+00
White Marsh Elementary School,St. Mary's,7,10/20/2021,15:00:00+00
Wiley H. Bates Middle School,Anne Arundel,2,10/20/2021,15:00:00+00
Williamsport High School,Washington,32,10/20/2021,15:00:00+00
Winand Elementary School,Baltimore,4,10/20/2021,15:00:00+00
Windsor Farm Elementary School,Anne Arundel,2,10/20/2021,15:00:00+00
Woodbridge Elementary School,Baltimore,4,10/20/2021,15:00:00+00
Yough Glades Elementary School,Garrett,5,10/20/2021,15:00:00+00
Allegany High School,Allegany,34,10/27/2021,15:00:00+00
Alphabet Education Inc at Mary B Neal Elementary,Charles,2,10/27/2021,15:00:00+00
Arbutus Middle School,Baltimore,3,10/27/2021,15:00:00+00
Baltimore International Academy - East,Baltimore City,12,10/27/2021,15:00:00+00
Barstow Elementary School,Calvert,2,10/27/2021,15:00:00+00
Bel Air Elementary,Allegany,3,10/27/2021,15:00:00+00
Braddock Middle School,Allegany,30,10/27/2021,15:00:00+00
Brunswick Elementary School,Frederick,4,10/27/2021,15:00:00+00
Buckingham Elementary School,Worcester,13,10/27/2021,15:00:00+00
Calvert Hall College High School,Baltimore,14,10/27/2021,15:00:00+00
Captain Walter Francis Duke Middle School,St. Mary's,23,10/27/2021,15:00:00+00
Cardinal Shehan School,Baltimore City,6,10/27/2021,15:00:00+00
Carter G Woodson Elementary,Somerset,42,10/27/2021,15:00:00+00
Catoctin High School,Frederick,25,10/27/2021,15:00:00+00
Century High School,Carroll,2,10/27/2021,15:00:00+00
Chapel Hill Elementary School,Baltimore,2,10/27/2021,15:00:00+00
Chesapeake High School,Anne Arundel,44,10/27/2021,15:00:00+00
Columbia Academy Elementary and Middle School,Howard,3,10/27/2021,15:00:00+00
Crisfield High School,Somerset,28,10/27/2021,15:00:00+00
Crofton High School,Anne Arundel,16,10/27/2021,15:00:00+00
Crofton Meadows Elementary School,Anne Arundel,2,10/27/2021,15:00:00+00
Deerfield Elementary School,Harford,5,10/27/2021,15:00:00+00
Dowell Elementary School,Calvert,6,10/27/2021,15:00:00+00
Easton Elementary School,Talbot,3,10/27/2021,15:00:00+00
Edmondson Heights Elementary School,Baltimore,5,10/27/2021,15:00:00+00
Esperanza Middle School,St. Mary's,38,10/27/2021,15:00:00+00
Fallston High School,Harford,2,10/27/2021,15:00:00+00
"Father Andrew White, S.J. School",St. Mary's,3,10/27/2021,15:00:00+00
Fort Hill High School,Allegany,40,10/27/2021,15:00:00+00
Fort Smallwood Elementary School,Anne Arundel,2,10/27/2021,15:00:00+00
Frank Hebron Harman Elementary School,Anne Arundel,3,10/27/2021,15:00:00+00
Franklin Elementary School,Baltimore,5,10/27/2021,15:00:00+00
Franklin Middle School,Baltimore,3,10/27/2021,15:00:00+00
Friends School,Baltimore City,41,10/27/2021,15:00:00+00
Fullerton Elementary School,Baltimore,2,10/27/2021,15:00:00+00
Fulton Eleentary,Howard,2,10/27/2021,15:00:00+00
George Creek Elementary School,Allegany,2,10/27/2021,15:00:00+00
Great Mills High School,St. Mary's,55,10/27/2021,15:00:00+00
Greenwood Elementary School,Somerset,15,10/27/2021,15:00:00+00
Harper's Choice Middle School,Howard,3,10/27/2021,15:00:00+00
Havre de Grace Elementary School,Harford,18,10/27/2021,15:00:00+00
Hickory Elementary School,Harford,7,10/27/2021,15:00:00+00
Hollywood Elementary School,St. Mary's,6,10/27/2021,15:00:00+00
Indian Creek School,Anne Arundel,4,10/27/2021,15:00:00+00
Joppatowne Elementary School,Harford,4,10/27/2021,15:00:00+00
Kings Christian Academy,St. Mary's,3,10/27/2021,15:00:00+00
Leonardtown High School,St. Mary's,78,10/27/2021,15:00:00+00
Leonardtown Middle School,St. Mary's,51,10/27/2021,15:00:00+00
Lettie Marshall Dent Elementary School,St. Mary's,35,10/27/2021,15:00:00+00
Lutherville Laboratory,Baltimore,5,10/27/2021,15:00:00+00
MacArthur Middle School,Anne Arundel,6,10/27/2021,15:00:00+00
Magothy River Middle School,Anne Arundel,6,10/27/2021,15:00:00+00
Manchester Valley High School,Carroll,4,10/27/2021,15:00:00+00
Margaret Brent Middle School,St. Mary's,92,10/27/2021,15:00:00+00
McDonogh School,Baltimore,8,10/27/2021,15:00:00+00
Meade Senior High School,Anne Arundel,2,10/27/2021,15:00:00+00
Mill Creek Middle School,Calvert,11,10/27/2021,15:00:00+00
Monarch Global Academy PCS Laurel Campus,Anne Arundel,36,10/27/2021,15:00:00+00
Mother Mary Lange Catholic School,Baltimore City,3,10/27/2021,15:00:00+00
Mount Airy Middle School,Carroll,2,10/27/2021,15:00:00+00
Mount Savage School,Allegany,4,10/27/2021,15:00:00+00
Mountain Ridge High School,Allegany,32,10/27/2021,15:00:00+00
Mt. Airy Middle School,Carroll,2,10/27/2021,15:00:00+00
North Dorchester High School,Dorchester,22,10/27/2021,15:00:00+00
North Dorchester Middle School,Dorchester,26,10/27/2021,15:00:00+00
North East Middle School,Cecil,34,10/27/2021,15:00:00+00
North Hagerstown High School,Washington,11,10/27/2021,15:00:00+00
North Harford Elementary School,Harford,2,10/27/2021,15:00:00+00
Northeast High School,Anne Arundel,32,10/27/2021,15:00:00+00
Northern Middle School,Washington,25,10/27/2021,15:00:00+00
Oakdale Middle School,Frederick,6,10/27/2021,15:00:00+00
Oakland Mills Middle School,Howard,2,10/27/2021,15:00:00+00
Oakville Elementary School,St. Mary's,17,10/27/2021,15:00:00+00
Odenton Elementary School,Anne Arundel,2,10/27/2021,15:00:00+00
Old Mill Middle School - North,Anne Arundel,17,10/27/2021,15:00:00+00
Orchard Groves Elementary School,Frederick,17,10/27/2021,15:00:00+00
Owings Mills Elementary School,Baltimore,3,10/27/2021,15:00:00+00
Parkville Middle,Baltimore,3,10/27/2021,15:00:00+00
Perryville High School,Cecil,22,10/27/2021,15:00:00+00
Perryville Middle School,Cecil,7,10/27/2021,15:00:00+00
Piney Point Elementary School,St. Mary's,40,10/27/2021,15:00:00+00
Pocomoke Elementary School,Worcester,9,10/27/2021,15:00:00+00
Richard Henry Lee Elementary School,Anne Arundel,2,10/27/2021,15:00:00+00
Ridge Elementary,St. Mary's,4,10/27/2021,15:00:00+00
Route 40 Elementary School,Garrett,3,10/27/2021,15:00:00+00
Running Brook Elementary School,Howard,4,10/27/2021,15:00:00+00
Saint Elizabeth School,Baltimore City,3,10/27/2021,15:00:00+00
Salisbury Baptist Academy,Wicomico,10,10/27/2021,15:00:00+00
Shiloh Middle School,Carroll,2,10/27/2021,15:00:00+00
Shiloh Middle School,Carroll,2,10/27/2021,15:00:00+00
Showell Elementary School,Worcester,24,10/27/2021,15:00:00+00
Silver Oak Academy,Carroll,7,10/27/2021,15:00:00+00
Snow Hill Middle School,Worcester,26,10/27/2021,15:00:00+00
Somerset Intermediate School,Somerset,29,10/27/2021,15:00:00+00
South-Dorchester K-8,Dorchester,4,10/27/2021,15:00:00+00
Southern Middle School,Anne Arundel,24,10/27/2021,15:00:00+00
Spring Garden Elementary School,Carroll,2,10/27/2021,15:00:00+00
Spring Ridge Middle School,St. Mary's,57,10/27/2021,15:00:00+00
St. Charles High School,Charles,22,10/27/2021,15:00:00+00
St. Columba School,Prince George's,3,10/27/2021,15:00:00+00
St. John the Evangelist School,Anne Arundel,2,10/27/2021,15:00:00+00
St. Joseph School,Baltimore,5,10/27/2021,15:00:00+00
St. Mary's School,Charles,4,10/27/2021,15:00:00+00
St. Michael's Elementary School,Talbot,2,10/27/2021,15:00:00+00
St. Paul's School,Baltimore,7,10/27/2021,15:00:00+00
St. Ursula Catholic School,Baltimore,39,10/27/2021,15:00:00+00
Stephen Decatur High School,Worcester,7,10/27/2021,15:00:00+00
Stephen Decatur Middle School,Worcester,11,10/27/2021,15:00:00+00
Stone Ridge School of the Sacred Heart,Montgomery,2,10/27/2021,15:00:00+00
Sudersville Middle School,Queen Anne's,9,10/27/2021,15:00:00+00
Summit Park Elementary,Baltimore,8,10/27/2021,15:00:00+00
The Belair-Edison School,Baltimore City,7,10/27/2021,15:00:00+00
The Mount Royal School,Baltimore City,3,10/27/2021,15:00:00+00
Thomson Estates Elementary School,Cecil,4,10/27/2021,15:00:00+00
Washington High School,Somerset,21,10/27/2021,15:00:00+00
Waters Landing Elementary School,Montgomery,3,10/27/2021,15:00:00+00
West Side Elementary School,Allegany,2,10/27/2021,15:00:00+00
Western Heights Middle School,Washington,32,10/27/2021,15:00:00+00
White Marsh Elementary School,St. Mary's,7,10/27/2021,15:00:00+00
Williamsport High School,Washington,38,10/27/2021,15:00:00+00
